scan_date,target_date,symbol,exchange,pattern,forecast,prob,conf,stats,price_at_scan,change_pct,threshold,avg_return,total_bars,actual,price_actual,correct,last_update
2026-02-12,2026-02-13,EPG,SET,++,UP,65.78381651753617,9.470289910521702,100/100 (5000),3.34,0.6024096385542175,0.9036144578313262,0.481927710843374,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ERW,SET,+,UP,73.81325448716686,9.406627243583433,100/100 (5000),3.1,6.164383561643842,9.246575342465762,4.931506849315074,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,FORTH,SET,++,UP,70.0,15.0,100/100 (5000),8.1,1.886792452830182,2.830188679245273,1.5094339622641457,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,GPSC,SET,+,UP,75.0,12.544711416199528,100/100 (5000),41.25,7.142857142857142,10.714285714285714,5.714285714285714,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,GULF,SET,+,UP,68.30339902417272,6.651699512086362,100/100 (5000),58.5,4.464285714285714,6.696428571428571,3.5714285714285716,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,GUNKUL,SET,+,UP,75.0,13.22539698498777,100/100 (5000),2.2,7.843137254901968,11.764705882352951,6.274509803921575,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,HMPRO,SET,+,UP,69.37400313495434,7.18700156747717,100/100 (5000),7.0,2.941176470588238,4.411764705882357,2.3529411764705905,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMART,SET,+,UP,65.67588742842263,5.337943714211313,100/100 (5000),8.1,5.88235294117646,8.82352941176469,4.705882352941169,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMART,SET,++,DOWN,67.6117450097397,10.56704700584382,100/100 (5000),8.1,5.88235294117646,8.82352941176469,4.705882352941169,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMT,SET,+,UP,75.0,18.91699329292034,100/100 (5000),10.6,13.368983957219251,20.053475935828878,10.695187165775401,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMT,SET,++,UP,70.0,14.454064712234576,100/100 (5000),10.6,13.368983957219251,20.053475935828878,10.695187165775401,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,KBANK,SET,+,UP,68.2925503793396,6.646275189669804,100/100 (5000),198.5,2.849740932642487,4.274611398963731,2.2797927461139897,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,KTB,SET,+,UP,69.69354942041292,7.346774710206461,100/100 (5000),31.0,2.479338842975207,3.7190082644628104,1.9834710743801656,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,KTC,SET,+,UP,75.0,13.616129061023376,100/100 (5000),30.75,2.5,3.75,2.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,MTC,SET,+,UP,66.80335382718782,5.901676913593912,100/100 (5000),38.75,3.3333333333333335,5.0,2.666666666666667,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,NEX,SET,+,UP,75.0,11.63371378402107,100/100 (5000),1.34,7.200000000000006,10.80000000000001,5.760000000000005,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ORI,SET,+,UP,72.5544703791646,8.7772351895823,100/100 (5000),2.08,2.970297029702973,4.455445544554459,2.3762376237623783,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PLANB,SET,+,UP,75.0,14.119532856897177,100/100 (5000),4.28,2.3923444976076684,3.5885167464115026,1.9138755980861348,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PLANB,SET,++,UP,65.60125532095489,9.360753192572938,100/100 (5000),4.28,2.3923444976076684,3.5885167464115026,1.9138755980861348,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PR9,SET,+,UP,68.9707947897826,6.985397394891302,100/100 (5000),20.2,3.061224489795907,4.59183673469386,2.448979591836726,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PSL,SET,+,UP,75.0,12.078251398506845,100/100 (5000),6.6,3.124999999999989,4.687499999999983,2.499999999999991,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PTG,SET,+,UP,70.22717635930721,7.613588179653608,100/100 (5000),9.3,8.139534883720943,12.209302325581415,6.511627906976755,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PTTGC,SET,+,UP,66.62681940589641,5.813409702948203,100/100 (5000),26.75,3.8834951456310676,5.825242718446601,3.1067961165048543,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SABUY,SET,+,UP,75.0,14.523809523809517,100/100 (5000),0.2,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SABUY,SET,++,UP,68.50689268415886,11.104135610495312,100/100 (5000),0.2,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SAWAD,SET,+,UP,72.6880264156747,8.844013207837353,100/100 (5000),28.75,3.6036036036036037,5.405405405405405,2.882882882882883,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SINGER,SET,+,UP,74.91896404231159,9.959482021155797,100/100 (5000),5.6,4.672897196261683,7.009345794392525,3.7383177570093467,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SINGER,SET,++,UP,66.90872243002394,10.145233458014367,100/100 (5000),5.6,4.672897196261683,7.009345794392525,3.7383177570093467,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SIRI,SET,+,UP,68.73034416087253,6.865172080436266,100/100 (5000),1.47,2.7972027972028,4.1958041958042,2.23776223776224,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SJWD,SET,+,UP,71.02283629336551,8.01141814668276,100/100 (5000),8.2,3.797468354430366,5.6962025316455485,3.037974683544293,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SNNP,SET,+,UP,71.59527698246985,8.297638491234927,100/100 (5000),7.7,0.6535947712418277,0.9803921568627416,0.5228758169934622,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SSP,SET,+,UP,65.00943369962557,5.004716849812785,100/100 (5000),3.18,1.2738853503184724,1.9108280254777086,1.019108280254778,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,STA,SET,+,UP,75.0,11.048314673186576,100/100 (5000),13.4,0.7518796992481176,1.1278195488721763,0.6015037593984941,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,STGT,SET,+,UP,67.82315786083173,6.411578930415862,100/100 (5000),8.85,4.117647058823525,6.176470588235288,3.2941176470588207,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SUPER,SET,+,UP,73.18181818181816,9.090909090909083,100/100 (5000),0.12,9.090909090909086,13.63636363636363,7.27272727272727,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SUPER,SET,++,UP,70.0,15.0,100/100 (5000),0.12,9.090909090909086,13.63636363636363,7.27272727272727,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TCAP,SET,+,UP,66.23905006734256,5.619525033671279,100/100 (5000),57.25,0.881057268722467,1.3215859030837005,0.7048458149779737,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,THANI,SET,+,UP,75.0,12.439019379566574,100/100 (5000),1.85,4.51977401129944,6.779661016949159,3.615819209039552,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TOA,SET,+,UP,72.52292564496526,8.761462822482624,100/100 (5000),14.9,1.3605442176870821,2.0408163265306234,1.0884353741496657,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TQM,SET,+,UP,68.85107225969224,6.9255361298461215,100/100 (5000),13.0,2.362204724409455,3.543307086614182,1.889763779527564,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TRUE,SET,+,UP,66.98685715806,5.993428579030002,100/100 (5000),13.6,3.030303030303033,4.545454545454549,2.4242424242424265,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TTB,SET,+,UP,72.36770070904457,8.683850354522283,100/100 (5000),2.02,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,VGI,SET,+,UP,75.0,20.0,100/100 (5000),1.11,7.766990291262142,11.650485436893213,6.213592233009714,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,VGI,SET,++,UP,70.0,15.0,100/100 (5000),1.11,7.766990291262142,11.650485436893213,6.213592233009714,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,WHA,SET,+,UP,71.08723004110333,8.043615020551664,100/100 (5000),4.2,6.59898477157361,9.898477157360414,5.279187817258888,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,WHA,SET,++,UP,65.1400397428428,9.08402384570568,100/100 (5000),4.2,6.59898477157361,9.898477157360414,5.279187817258888,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,WHAUP,SET,+,UP,65.32532367785825,5.162661838929128,100/100 (5000),4.96,3.3333333333333366,5.000000000000005,2.6666666666666696,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ADP,NASDAQ,-,DOWN,67.0537114388147,6.0268557194073535,100/100 (5000),217.57,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ADSK,NASDAQ,-,DOWN,69.16861439250263,7.084307196251316,100/100 (5000),232.59,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,AEP,NASDAQ,+,UP,69.7501274087325,7.375063704366247,100/100 (5000),122.25,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,AMAT,NASDAQ,+,UP,72.43089231179329,8.715446155896645,100/100 (5000),339.88,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,AMAT,NASDAQ,++,UP,69.85230765823144,11.911384594938866,100/100 (5000),339.88,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,AMD,NASDAQ,-,DOWN,67.14496233501812,6.072481167509058,100/100 (5000),213.58,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,AMD,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),213.58,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,BIDU,NASDAQ,-,DOWN,68.30316889160625,6.6515844458031275,100/100 (5000),145.12,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,CDNS,NASDAQ,++,DOWN,67.63360546005089,10.580163276030529,100/100 (5000),299.65,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,CHTR,NASDAQ,++,DOWN,67.01714225275059,10.21028535165035,100/100 (5000),241.07,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,CPRT,NASDAQ,-,DOWN,68.68449418894824,6.842247094474119,100/100 (5000),39.51,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,CRWD,NASDAQ,++,UP,68.86155551000094,11.316933306000566,100/100 (5000),415.81,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,CSCO,NASDAQ,-,DOWN,75.0,11.28886252525202,100/100 (5000),85.54,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,CSCO,NASDAQ,++,DOWN,68.87923752742813,11.327542516456875,100/100 (5000),85.54,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,DDOG,NASDAQ,+,UP,71.28532524695518,8.142662623477593,100/100 (5000),127.33,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,DDOG,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),127.33,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ENPH,NASDAQ,-,DOWN,73.25685026871757,9.128425134358787,100/100 (5000),48.23,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ENPH,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),48.23,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,EXC,NASDAQ,+,UP,73.24102480225346,9.120512401126735,100/100 (5000),44.45,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,FISV,NASDAQ,+,UP,66.63619051773412,5.8180952588670625,100/100 (5000),62.11,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,FISV,NASDAQ,++,UP,67.46931917989384,10.481591507936304,100/100 (5000),62.11,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,GFS,NASDAQ,+,UP,75.0,11.532760929956998,100/100 (5000),48.74,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,GFS,NASDAQ,++,UP,70.0,15.0,100/100 (5000),48.74,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,GOOG,NASDAQ,-,DOWN,68.65562607802914,6.827813039014574,100/100 (5000),311.33,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,GOOGL,NASDAQ,-,DOWN,69.12754680299186,7.063773401495932,100/100 (5000),310.96,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,INTC,NASDAQ,-,DOWN,71.22788235925883,8.113941179629414,100/100 (5000),48.29,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,INTC,NASDAQ,++,DOWN,70.0,13.388388267788956,100/100 (5000),48.29,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,INTU,NASDAQ,-,DOWN,75.0,13.967997260507103,100/100 (5000),399.69,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,INTU,NASDAQ,++,DOWN,66.94186494926598,10.16511896955958,100/100 (5000),399.69,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,KLAC,NASDAQ,++,UP,70.0,15.0,100/100 (5000),1479.5,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,LCID,NASDAQ,-,DOWN,75.0,10.666391106383001,100/100 (5000),10.05,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,LCID,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),10.05,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,LRCX,NASDAQ,++,UP,70.0,12.992841957630034,100/100 (5000),235.12,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,LULU,NASDAQ,++,DOWN,65.7162491661393,9.429749499683584,100/100 (5000),175.86,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,MAR,NASDAQ,+,UP,72.36118132030138,8.68059066015069,100/100 (5000),358.75,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,MCHP,NASDAQ,+,UP,67.23002612500869,6.115013062504349,100/100 (5000),80.75,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,META,NASDAQ,-,DOWN,66.41198192940635,5.705990964703178,100/100 (5000),668.69,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,META,NASDAQ,++,DOWN,66.18793174652772,9.712759047916636,100/100 (5000),668.69,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,MRNA,NASDAQ,++,UP,66.7916054883347,10.074963293000817,100/100 (5000),40.51,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,MSFT,NASDAQ,++,DOWN,65.658761373965,9.395256824379,100/100 (5000),404.37,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,MU,NASDAQ,++,UP,70.0,14.890175740586594,100/100 (5000),410.34,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,NFLX,NASDAQ,-,DOWN,65.92814683528078,5.464073417640392,100/100 (5000),79.62,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,NXPI,NASDAQ,+,UP,69.17000008982396,7.0850000449119825,100/100 (5000),249.75,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ODFL,NASDAQ,++,DOWN,68.65799379730224,11.194796278381345,100/100 (5000),194.46,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PANW,NASDAQ,++,DOWN,65.06199971987665,9.037199831925989,100/100 (5000),165.3,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,PYPL,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),40.46,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,RIVN,NASDAQ,+,UP,75.0,14.888293295674481,100/100 (5000),14.76,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,RIVN,NASDAQ,++,UP,70.0,15.0,100/100 (5000),14.76,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ROKU,NASDAQ,++,DOWN,69.07358220229378,11.444149321376264,100/100 (5000),87.89,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SIRI,NASDAQ,++,DOWN,65.20488849373399,9.12293309624039,100/100 (5000),21.9,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,SNPS,NASDAQ,++,DOWN,66.83363828435623,10.100182970613739,100/100 (5000),438.21,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TEAM,NASDAQ,-,DOWN,75.0,10.185423060034482,100/100 (5000),86.97,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TEAM,NASDAQ,++,DOWN,69.30616293541291,11.583697761247754,100/100 (5000),86.97,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,TMUS,NASDAQ,+,UP,75.0,10.71323333380061,100/100 (5000),209.54,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,VRSK,NASDAQ,++,UP,65.82464205371215,9.494785232227292,100/100 (5000),173.77,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,WBD,NASDAQ,+,UP,66.13771871406,5.568859357029998,100/100 (5000),27.99,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,XEL,NASDAQ,+,UP,66.1547501540002,5.577375077000101,100/100 (5000),77.92,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ZM,NASDAQ,-,DOWN,69.37365051089907,7.186825255449536,100/100 (5000),92.15,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ZM,NASDAQ,++,DOWN,69.4487478833683,11.669248730020978,100/100 (5000),92.15,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,ZS,NASDAQ,++,DOWN,67.92594872692568,10.755569236155413,100/100 (5000),171.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,2303,TWSE,++,UP,70.0,15.0,100/100 (5000),62.8,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,2308,TWSE,++,UP,65.78210973206338,9.469265839238025,100/100 (5000),1260.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,2330,TWSE,+,UP,69.27734331558139,7.138671657790696,100/100 (5000),1915.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,2395,TWSE,+,UP,66.94415336730836,5.972076683654182,100/100 (5000),305.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,2454,TWSE,++,UP,68.41436782450462,11.048620694702771,100/100 (5000),1855.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,3711,TWSE,+,UP,75.0,16.742872281197563,100/100 (5000),354.5,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,3711,TWSE,++,UP,70.0,12.472205180569972,100/100 (5000),354.5,0.0,0.0,0.0,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,3690,HKEX,-,DOWN,75.0,10.220647571905827,100/100 (5000),84.85,-4.501969611705121,6.752954417557682,-3.601575689364097,5000,PENDING,,,2026-02-12 15:00:00
2026-02-12,2026-02-13,9866,HKEX,++,UP,65.0216675061127,9.013000503667621,100/100 (5000),39.46,-0.6045340050377883,0.9068010075566825,-0.4836272040302307,5000,PENDING,,,2026-02-12 15:00:00
